20,[0.09295945],[0.99291797],[[ 0.09295945  0.07397604 -0.99291797]],[[ 9.99999022e-01 -1.33125018e-03 -4.29114729e-04]],[[ 1.33112076e-03  9.99999069e-01 -3.01732856e-04]],[[4.29516012e-04 3.01161357e-04 9.99999862e-01]]
21,[0.13474949],[1.99033924],[[ 0.13474949  0.13232322 -1.99033924]],[[ 9.99994985e-01 -3.01821924e-03 -9.59333691e-04]],[[ 3.01750687e-03  9.99995171e-01 -7.43152615e-04]],[[9.61572056e-04 7.40254092e-04 9.99999264e-01]]
22,[0.02973557],[2.98099218],[[ 0.02973557  0.21937964 -2.98099218]],[[ 0.99999406 -0.00324212 -0.00116841]],[[ 0.00324058  0.99999388 -0.00131787]],[[0.00117268 0.00131408 0.99999845]]
23,[0.02305642],[3.97991149],[[ 0.02305642  0.26537534 -3.97991149]],[[ 0.99999326 -0.00326176 -0.00168645]],[[ 0.00325919  0.99999352 -0.001529  ]],[[0.00169143 0.00152349 0.99999741]]
24,[0.09498404],[4.97732018],[[ 0.09498404  0.26690347 -4.97732018]],[[ 0.99998825 -0.00434656 -0.0021478 ]],[[ 0.00434296  0.99998916 -0.00167937]],[[0.00215508 0.00167002 0.99999628]]
25,[0.11050168],[5.9700755],[[ 0.11050168  0.38605077 -5.9700755 ]],[[ 0.99998525 -0.00499244 -0.00214073]],[[ 0.00498811  0.99998552 -0.00202172]],[[0.00215079 0.00201101 0.99999566]]
26,[0.08362056],[6.96958819],[[ 0.08362056  0.40191804 -6.96958819]],[[ 0.99998784 -0.0045373  -0.00193268]],[[ 0.00453308  0.99998734 -0.0021859 ]],[[0.00194257 0.00217711 0.99999574]]
27,[0.13993536],[7.96300186],[[ 0.13993536  0.50170747 -7.96300186]],[[ 0.99998449 -0.00498399 -0.00248699]],[[ 0.00497669  0.99998332 -0.00293182]],[[0.00250156 0.0029194  0.99999261]]
28,[0.10491113],[8.96213052],[[ 0.10491113  0.47900891 -8.96213052]],[[ 0.99998533 -0.00463408 -0.00280477]],[[ 0.00462484  0.99998389 -0.00328953]],[[0.00281997 0.00327651 0.99999066]]
29,[0.11688718],[9.96136876],[[ 0.11688718  0.51615074 -9.96136876]],[[ 0.99998372 -0.00442603 -0.00360006]],[[ 0.0044124   0.9999831  -0.00378534]],[[0.00361675 0.0037694  0.99998636]]
30,[0.02426106],[10.9431433],[[  0.02426106   0.6821     -10.9431433 ]],[[ 0.99998261 -0.00416973 -0.00416963]],[[ 0.00415038  0.99998063 -0.00463893]],[[0.00418889 0.00462154 0.99998055]]
31,[-0.01134145],[11.93934005],[[-1.13414528e-02  7.61626725e-01 -1.19393400e+01]],[[ 0.99998346 -0.00394119 -0.00418949]],[[ 0.0039206   0.99998025 -0.00491114]],[[0.00420876 0.00489464 0.99997916]]
32,[0.04066873],[12.93593169],[[  0.04066873   0.82565833 -12.93593169]],[[ 0.99998057 -0.00439562 -0.00442107]],[[ 0.0043745   0.99997903 -0.00477589]],[[0.00444197 0.00475646 0.99997882]]
33,[0.01282826],[13.93388023],[[ 1.28282609e-02  8.83309088e-01 -1.39338802e+01]],[[ 0.99998042 -0.00422112 -0.00461903]],[[ 0.00420053  0.99998125 -0.00445695]],[[0.00463776 0.00443746 0.9999794 ]]
34,[-0.06278237],[14.93045633],[[ -0.06278237   0.91676222 -14.93045633]],[[ 0.99998016 -0.00382567 -0.00500358]],[[ 0.00380675  0.99998559 -0.00378506]],[[0.00501799 0.00376594 0.99998032]]
35,[-0.06219303],[15.93015489],[[ -0.06219303   0.94130672 -15.93015489]],[[ 0.99997268 -0.00455164 -0.00582471]],[[ 0.00453563  0.99998591 -0.00275964]],[[0.00583719 0.00273314 0.99997923]]
36,[-0.05986159],[16.93004475],[[ -0.05986159   0.95596391 -16.93004475]],[[ 0.99996352 -0.00566036 -0.00639684]],[[ 0.0056495   0.99998257 -0.00171374]],[[0.00640643 0.00167753 0.99997807]]
37,[-0.02272727],[17.92824004],[[ -0.02272727   1.00315726 -17.92824004]],[[ 0.99995638 -0.00637003 -0.00683144]],[[ 0.00636094  0.99997885 -0.00135226]],[[0.00683991 0.00130874 0.99997575]]
38,[-0.02408739],[18.92433589],[[ -0.02408739   1.09142509 -18.92433589]],[[ 0.99995096 -0.00706846 -0.00693644]],[[ 0.00705565  0.99997336 -0.00187075]],[[0.00694948 0.00182172 0.99997419]]
39,[-0.00892065],[19.92281925],[[-8.92064670e-03  1.14434902e+00 -1.99228193e+01]],[[ 0.99994562 -0.00743818 -0.00730989]],[[ 0.00742135  0.99996975 -0.00232678]],[[0.00732697 0.0022724  0.99997058]]
40,[-0.03728185],[20.91751466],[[ -0.03728185   1.24322612 -20.91751466]],[[ 0.99994345 -0.00725174 -0.00777892]],[[ 0.00723472  0.99997138 -0.00221454]],[[0.00779476 0.00215813 0.99996729]]
41,[-0.02129106],[21.91488945],[[-2.12910605e-02  1.31385077e+00 -2.19148894e+01]],[[ 0.99994613 -0.00625288 -0.00828475]],[[ 0.00624291  0.99997976 -0.00122853]],[[0.00829227 0.00117674 0.99996493]]
42,[-0.01952168],[22.91088628],[[-1.95216829e-02  1.40322176e+00 -2.29108863e+01]],[[ 0.99995456 -0.00408545 -0.00861281]],[[ 4.08258670e-03  9.99991605e-01 -3.50129500e-04]],[[8.61416815e-03 3.14951048e-04 9.99962848e-01]]
43,[-0.05415583],[23.90471095],[[ -0.05415583   1.50863995 -23.90471095]],[[ 0.99995374 -0.00189194 -0.00943122]],[[ 1.88417100e-03  9.99997878e-01 -8.32422600e-04]],[[9.43277185e-03 8.14614063e-04 9.99955179e-01]]
44,[-0.10552605],[24.90264302],[[ -0.10552605   1.54727532 -24.90264302]],[[ 9.99943465e-01  2.27877485e-04 -1.06308460e-02]],[[-2.51744797e-04  9.99997451e-01 -2.24381575e-03]],[[0.01063031 0.00224637 0.99994097]]
45,[-0.13240611],[25.90169569],[[ -0.13240611   1.58149842 -25.90169569]],[[ 0.99993383  0.00188118 -0.01134924]],[[-0.00191288  0.9999943  -0.00278344]],[[0.01134394 0.00280497 0.99993172]]
46,[-0.10707864],[26.89961624],[[ -0.10707864   1.64076984 -26.89961624]],[[ 0.99992557  0.00248266 -0.0119454 ]],[[-0.00250634  0.99999492 -0.00196815]],[[0.01194045 0.00199794 0.99992671]]
47,[-0.08805198],[27.89746611],[[ -0.08805198   1.70348839 -27.89746611]],[[ 0.99992149  0.00125396 -0.0124674 ]],[[-1.26347284e-03  9.99998917e-01 -7.54968632e-04]],[[1.24664413e-02 7.70661584e-04 9.99921994e-01]]
48,[-0.01515445],[28.89454],[[-1.51544468e-02  1.72650188e+00 -2.88945400e+01]],[[ 0.99990889 -0.00148622 -0.01341633]],[[ 1.48441459e-03  9.99998888e-01 -1.44358965e-04]],[[1.34165328e-02 1.24430412e-04 9.99909987e-01]]
49,[0.06449298],[29.89005753],[[  0.06449298   1.77750307 -29.89005753]],[[ 0.99988376 -0.0036884  -0.01479387]],[[ 3.67634441e-03  9.99992888e-01 -8.42084247e-04]],[[1.47968756e-02 7.87598986e-04 9.99890210e-01]]
50,[0.08173474],[30.88962834],[[  0.08173474   1.80118699 -30.88962834]],[[ 0.99987064 -0.00377556 -0.01563501]],[[ 0.00374337  0.99999081 -0.00208779]],[[0.01564275 0.002029   0.99987559]]
51,[0.03986791],[31.88874361],[[  0.03986791   1.80516573 -31.88874361]],[[ 0.99986519 -0.00217689 -0.01627449]],[[ 0.002121    0.9999918  -0.00345114]],[[0.01628187 0.00341615 0.99986161]]
52,[0.02622029],[32.88795453],[[ 2.62202862e-02  1.84246583e+00 -3.28879545e+01]],[[ 9.99854797e-01 -7.95178421e-04 -1.70220930e-02]],[[ 7.23451293e-04  9.99990836e-01 -4.21950980e-03]],[[0.01702529 0.00420658 0.99984621]]
53,[-0.00014996],[33.87859862],[[-1.49957848e-04  1.97636464e+00 -3.38785986e+01]],[[ 0.999843    0.00102796 -0.01768964]],[[-0.00110875  0.999989   -0.00455778]],[[0.01768476 0.00457668 0.99983314]]
54,[0.00197663],[34.87580838],[[ 1.97662500e-03  2.05098483e+00 -3.48758084e+01]],[[ 0.99982412  0.00368737 -0.01838863]],[[-0.00376744  0.99998356 -0.00432168]],[[0.0183724  0.0043902  0.99982157]]
55,[0.00576273],[35.87214791],[[ 5.76273470e-03  2.13638507e+00 -3.58721479e+01]],[[ 0.99980116  0.00586132 -0.01905986]],[[-0.00593651  0.99997481 -0.00389065]],[[0.01903658 0.00400303 0.99981077]]
56,[0.00317294],[36.86842841],[[ 3.17293771e-03  2.22251552e+00 -3.68684284e+01]],[[ 0.99977973  0.00674657 -0.01987391]],[[-0.00681326  0.99997138 -0.00328993]],[[0.01985114 0.00342461 0.99979708]]
57,[-0.00027209],[37.86566289],[[-2.72086305e-04  2.29675518e+00 -3.78656629e+01]],[[ 0.99976298  0.00637654 -0.02081633]],[[-0.00642321  0.999977   -0.00217601]],[[0.02080197 0.0023092  0.99978095]]
58,[0.03249214],[38.86450536],[[ 3.24921393e-02  2.33197215e+00 -3.88645054e+01]],[[ 0.99974575  0.0055797  -0.02184728]],[[-5.59826543e-03  9.99984018e-01 -7.88885361e-04]],[[2.18425274e-02 9.10991650e-04 9.99761008e-01]]
59,[0.11315326],[39.86049044],[[  0.11315326   2.37079877 -39.86049044]],[[ 0.9997221   0.00302112 -0.02337954]],[[-3.01747450e-03  9.99995429e-01  1.91134027e-04]],[[ 2.33800057e-02 -1.20533759e-04  9.99726643e-01]]
60,[0.19299953],[40.85690918],[[  0.19299953   2.39862421 -40.85690918]],[[ 0.99970078  0.00115063 -0.02443409]],[[-1.12981221e-03  9.99998987e-01  8.65894652e-04]],[[ 2.44350629e-02 -8.38029625e-04  9.99701068e-01]]
61,[0.25399861],[41.85391653],[[  0.25399861   2.44611591 -41.85391653]],[[ 9.99671509e-01 -6.98750781e-04 -2.56200208e-02]],[[7.29783337e-04 9.99999011e-01 1.20193189e-03]],[[ 0.02561916 -0.00122023  0.99967103]]
62,[0.30493507],[42.85209337],[[  0.30493507   2.47849598 -42.85209337]],[[ 9.99655480e-01 -3.26836826e-04 -2.62452607e-02]],[[3.72592158e-04 9.99998419e-01 1.73850374e-03]],[[ 0.02624465 -0.00174768  0.99965402]]
63,[0.32609646],[43.84896943],[[  0.32609646   2.55459013 -43.84896943]],[[ 9.99639026e-01  3.60835392e-04 -2.68642409e-02]],[[-3.15752587e-04  9.99998535e-01  1.68239464e-03]],[[ 0.02686481 -0.0016733   0.99963768]]
64,[0.34701242],[44.84812486],[[  0.34701242   2.58995899 -44.84812486]],[[ 9.99617014e-01  4.95614726e-04 -2.76691002e-02]],[[-4.47878271e-04  9.99998401e-01  1.73143300e-03]],[[ 0.02766991 -0.00171838  0.99961564]]
65,[0.37070057],[45.84664099],[[  0.37070057   2.63899365 -45.84664099]],[[ 0.99958757  0.00103225 -0.02869889]],[[-9.78052278e-04  9.99997712e-01  1.90240165e-03]],[[ 0.02870079 -0.00187355  0.99958629]]
66,[0.39133082],[46.8455799],[[  0.39133082   2.68016958 -46.8455799 ]],[[ 0.99956287  0.0027808  -0.02943362]],[[-0.0027188   0.999994    0.00214624]],[[ 0.02943941 -0.00206528  0.99956443]]
67,[0.41777174],[47.84421941],[[  0.41777174   2.72511392 -47.84421941]],[[ 0.99953358  0.00483747 -0.03015338]],[[-4.81276876e-03  9.99988021e-01  8.91710696e-04]],[[ 3.01573345e-02 -7.46173527e-04  9.99544886e-01]]
68,[0.44763365],[48.84197562],[[  0.44763365   2.7850373  -48.84197562]],[[ 0.99949629  0.0052395  -0.03130032]],[[-5.24698200e-03  9.99986222e-01 -1.56950266e-04]],[[3.12990709e-02 3.21103447e-04 9.99510012e-01]]
69,[0.47493507],[49.83899252],[[  0.47493507   2.85723106 -49.83899252]],[[ 0.99945717  0.00537529 -0.03250341]],[[-0.00543093  0.99998393 -0.00162379]],[[0.03249416 0.00179943 0.99947031]]
70,[0.49423278],[50.83796261],[[  0.49423278   2.8982963  -50.83796261]],[[ 0.99942427  0.00554085 -0.03347292]],[[-0.00564969  0.99997905 -0.00315764]],[[0.03345472 0.00334493 0.99943464]]
71,[0.5721999],[51.83445782],[[  0.5721999    2.92860203 -51.83445782]],[[ 0.99939323  0.00383213 -0.03461911]],[[-0.00395429  0.99998619 -0.00346065]],[[0.03460537 0.00359545 0.99939459]]
72,[0.61954812],[52.83320288],[[  0.61954812   2.94492507 -52.83320288]],[[ 0.99939029  0.00334491 -0.03475436]],[[-0.00342547  0.99999158 -0.0022585 ]],[[0.03474652 0.00237617 0.99939333]]
73,[0.63407836],[53.83126202],[[  0.63407836   3.00547936 -53.83126202]],[[ 0.99938401  0.00433308 -0.03482568]],[[-4.35666331e-03  9.99990329e-01 -6.01274293e-04]],[[3.48227388e-02 7.52627680e-04 9.99393221e-01]]
74,[0.68861806],[54.82874335],[[  0.68861806   3.05082715 -54.82874335]],[[ 0.99935476  0.00386318 -0.03570923]],[[-3.84536951e-03  9.99992446e-01  5.67321766e-04]],[[ 3.57111510e-02 -4.29640524e-04  9.99362061e-01]]
75,[0.6841659],[55.82606736],[[  0.6841659    3.12379978 -55.82606736]],[[ 0.99931348  0.0050337  -0.03670477]],[[-0.00499972  0.99998698  0.00101735]],[[ 3.67094150e-02 -8.33141124e-04  9.99325635e-01]]
76,[0.70210592],[56.82233686],[[  0.70210592   3.20821086 -56.82233686]],[[ 0.99926094  0.00700452 -0.03779552]],[[-7.00195862e-03  9.99975466e-01  2.00208552e-04]],[[3.77959945e-02 6.45820755e-05 9.99285474e-01]]
